location_id,mean_no2,mean_o3,mean_pm10,mean_pm25,std_no2,std_o3,std_pm10,std_pm25,winter_no2,winter_o3,winter_pm10,winter_pm25,summer_no2,summer_o3,summer_pm10,summer_pm25,station_name,city,country_code,country_name,latitude,longitude
155,15.050214631685165,52.21214,12.353180428134555,7.132634575569358,10.088451225511937,18.87940832439086,5.340237925321785,3.9334114871783394,20.234228855721394,42.840042372881356,12.553425414364641,7.440113636363637,9.356782783882784,60.7356862745098,11.538282828282828,6.09296992481203,Kensington and Chelsea - North Ken,Kensington and Chelsea,GB,Wielka Brytania,51.5210467476039,-0.213492139585065
157,15.323236180904523,51.213033033033035,12.96866598778004,7.683178534571724,10.119957478850393,18.044362908550173,6.257142117169686,4.35329926300246,18.810533333333332,45.28504273504274,13.260280373831774,8.264497607655501,10.056461538461537,59.53805970149254,11.827703703703703,6.419740740740741,Bexley - Slade Green,Bexley,GB,Wielka Brytania,51.4659832746662,0.184877126994369
158,14.078098190672772,51.39464,13.049131868131868,6.800814249363867,7.57506363550302,20.176620026874517,5.855548177586744,3.52878725110227,18.053504120148858,38.12818992248062,14.032892156862745,7.6617460317460315,10.451701066601531,64.3678529424119,12.34875939849624,5.977142857142858,London Teddington Bushy Park - UKA00572,London,GB,Wielka Brytania,51.425285999344624,-0.3456059996846904
159,20.36682779456193,48.560312891113895,16.909750369800115,7.470660860655737,11.883711130340885,14.494504386862417,8.751801640276929,4.517421498104111,25.497886792452828,44.92532786885246,18.589172240802675,7.838260162601626,13.690833333333334,48.48980392156862,15.521663401253917,6.0070958333333335,London Westminster - UKA00435,London,GB,Wielka Brytania,51.4946699996591,-0.13193099964204494
406,27.67067067067067,51.39464,11.608324873096448,6.176461538461539,11.891325767451923,20.176620026874517,4.78676765976926,3.178936522604722,32.21511312217194,38.12818992248062,10.818461538461538,6.4084,21.404739130434784,64.3678529424119,12.459565217391305,6.27,Oldbury Birmingham Road - UKA00595,Oldbury,GB,Wielka Brytania,52.50243599946008,-2.0034969995881116
414,9.6899719,51.39464,13.173979716024341,7.544471486761711,7.050118180241789,20.176620026874517,6.799289209909688,4.2882461178528395,10.500915555555556,38.12818992248062,10.661721774193548,6.529460580912863,7.256131203007518,64.3678529424119,12.351788,6.613108870967742,Stockton-on-Tees Eaglescliffe - UKA00535,Stockton-on-Tees,GB,Wielka Brytania,54.51666699931385,-1.3585470003707398
698,22.08457027300303,44.95973973973974,13.429020202020201,7.78355759429154,10.837537514346343,17.060011697844583,5.754346363610051,3.954956859332291,28.27892523364486,38.56805429864253,15.058009950248756,9.035969387755102,16.236679104477613,49.77116104868914,11.825530303030304,6.4467803030303035,Southampton Centre - UKA00235,Southampton,GB,Wielka Brytania,50.90813999934531,-1.3957779998162605
718,18.519502538071066,50.50487684729064,15.63238866396761,8.608391393442623,9.989609319993512,16.77613953848307,6.948587660739396,4.431274745631266,24.301450777202074,43.261250000000004,15.533631840796021,9.219484536082474,13.108443579766536,52.40410447761194,13.599701492537312,7.022537313432836,Salford Eccles,Manchester,GB,Wielka Brytania,53.48481,-2.334139
731,15.23790948275862,50.42584330794342,14.771604938271604,6.832510231923601,9.185933394274768,17.14351871411895,4.805391749450803,3.126790717790312,19.747049999999998,45.46790322580645,15.003,7.0544954128440365,8.966127819548872,54.38646616541353,13.917007874015749,6.356640316205533,Bristol St Pauls - UKA00494,Bristol,GB,Wielka Brytania,51.46283899958484,-2.584481999960642
742,9.809573158425833,45.99827493261456,14.271807106598985,7.343039918116683,6.220626033684674,15.99883339167642,5.010084381678098,3.5414706574334733,15.081767676767678,40.55416666666667,14.094256410256412,7.553031914893618,6.015740601503759,49.09662921348314,12.781268656716419,5.776325757575758,York Bootham,York,GB,Wielka Brytania,53.967513,-1.086514
762,8.923254473161034,89.12630879948368,11.197732464929858,9.568817472919314,5.809150251823567,30.48411683960426,15.144908873794199,5.599787690323896,14.727692307692308,35.09470588235294,24.80418613861386,11.69357142857143,5.009121212121212,103.71951686371256,5.364545454545454,8.170128309942317,JAJCE - HARMANI,Jajce,BA,Bośnia i Hercegowina,44.34299999997694,17.26790000027696
764,12.92991959798995,51.39464,12.909949494949496,6.839276985743381,7.472001851147328,20.176620026874517,5.4143009241213305,3.4397905174493753,17.386102564102565,38.12818992248062,13.607171717171719,7.502684210526316,9.028432835820896,64.3678529424119,12.085671641791045,5.654701492537313,Newport,Newport,GB,Wielka Brytania,51.601203,-2.977281
768,11.296181818181818,51.39464,16.52447715736041,8.214978165938865,6.3615130510403635,20.176620026874517,8.960394549542539,3.522007704004216,14.80477157360406,38.12818992248062,12.742736842105263,9.046129032258065,7.965416666666666,64.3678529424119,15.67923076923077,7.441573033707865,Scunthorpe Town - UKA00381,Scunthorpe,GB,Wielka Brytania,53.58633999952715,-0.6368110004351858
794,17.893169999999998,51.39464,12.866298342541437,6.963626373626374,8.146575964848731,20.176620026874517,4.726680515694791,3.465247860695081,19.34509090909091,38.12818992248062,14.445806451612903,8.708064516129031,16.04733082706767,64.3678529424119,11.478650793650793,6.034761904761905,Storrington Roadside - UKA00548,Storrington,GB,Wielka Brytania,50.9169319993493,-0.4495479995765832
803,14.078098190672772,51.39464,12.646089613034622,6.7834,7.57506363550302,20.176620026874517,5.4310695443559736,3.235897855569941,18.053504120148858,38.12818992248062,15.43416149068323,8.3926875,10.451701066601531,64.3678529424119,10.802848297213623,5.519484076433121,Barnstaple A39,Barnstaple,GB,Wielka Brytania,51.074793,-4.041924
804,5.091277551020409,51.34233935742972,10.638708036622583,5.7748453608247425,3.234067798222483,17.207876391315427,4.813122576885908,3.022607494335534,6.388194570135746,47.43636363636364,8.999933333333333,5.7846153846153845,3.443143396226415,55.68484848484848,11.443463855421687,5.241107784431137,Wicken Fen - UKA00362,Wicken Fen,GB,Wielka Brytania,52.298499999747406,0.2909169999720914
824,11.973772772772774,48.86067,14.251389452332658,5.152774569402228,7.309770192143068,16.603360654883577,6.163157935055443,3.867112464878142,15.823233830845771,42.48401826484018,12.314712041884817,5.864664893617022,8.027677902621722,52.639700374531834,12.917854545454546,3.8197102473498235,Middlesbrough - UKA00220,Middlesbrough,GB,Wielka Brytania,54.56929699927123,-1.2208739999753224
865,12.473637,51.39464,11.96789046653144,7.007849133537206,6.794288390697515,20.176620026874517,5.726196087868559,4.094966417553332,15.271849999999999,38.12818992248062,12.253084577114427,7.523061224489796,9.287721189591078,64.3678529424119,10.247565543071161,5.230861423220974,Chesterfield Roadside,Chesterfield,GB,Wielka Brytania,53.231722,-1.456944
